"","FeatureName","FeatureType","DateCode","Waste.Management","Tonnes"
"1","Aberdeen City","Council Area",2011,"Landfilled",62521.9
"2","Aberdeenshire","Council Area",2011,"Landfilled",98318
"3","Angus","Council Area",2011,"Landfilled",22724.9
"4","Argyll and Bute","Council Area",2011,"Landfilled",26126
"5","City of Edinburgh","Council Area",2011,"Landfilled",130590.3
"6","Clackmannanshire","Council Area",2011,"Landfilled",14318.6
"7","Dumfries and Galloway","Council Area",2011,"Landfilled",34886.3
"8","Dundee City","Council Area",2011,"Landfilled",7963.6
"9","East Ayrshire","Council Area",2011,"Landfilled",32510.1
"10","East Dunbartonshire","Council Area",2011,"Landfilled",36731.2
"11","East Lothian","Council Area",2011,"Landfilled",27643.7
"12","East Renfrewshire","Council Area",2011,"Landfilled",20743.7
"13","Falkirk","Council Area",2011,"Landfilled",36969.4
"14","Fife","Council Area",2011,"Landfilled",98593.2
"15","Glasgow City","Council Area",2011,"Landfilled",183691.2
"16","Highland","Council Area",2011,"Landfilled",68856.5
"17","Inverclyde","Council Area",2011,"Landfilled",19946.2
"18","Midlothian","Council Area",2011,"Landfilled",23162.6
"19","Moray","Council Area",2011,"Landfilled",28996.3
"20","Na h-Eileanan Siar","Council Area",2011,"Landfilled",12117.6
"21","North Ayrshire","Council Area",2011,"Landfilled",32911.5
"22","North Lanarkshire","Council Area",2011,"Landfilled",97069.9
"23","Orkney Islands","Council Area",2011,"Landfilled",2813.1
"24","Perth and Kinross","Council Area",2011,"Landfilled",38034.1
"25","Renfrewshire","Council Area",2011,"Landfilled",45230
"26","Scottish Borders","Council Area",2011,"Landfilled",28688.2
"27","Shetland Islands","Council Area",2011,"Landfilled",450.4
"28","South Ayrshire","Council Area",2011,"Landfilled",30279.5
"29","South Lanarkshire","Council Area",2011,"Landfilled",105640.4
"30","Stirling","Council Area",2011,"Landfilled",20484
"31","West Dunbartonshire","Council Area",2011,"Landfilled",22633.9
"32","West Lothian","Council Area",2011,"Landfilled",42143.2
"33","Aberdeen City","Council Area",2012,"Landfilled",60988.3
"34","Aberdeenshire","Council Area",2012,"Landfilled",86819
"35","Angus","Council Area",2012,"Landfilled",32846.5
"36","Argyll and Bute","Council Area",2012,"Landfilled",27660.1
"37","City of Edinburgh","Council Area",2012,"Landfilled",118820.4
"38","Clackmannanshire","Council Area",2012,"Landfilled",9944.6
"39","Dumfries and Galloway","Council Area",2012,"Landfilled",23701.6
"40","Dundee City","Council Area",2012,"Landfilled",34655.2
"41","East Ayrshire","Council Area",2012,"Landfilled",32685.2
"42","East Dunbartonshire","Council Area",2012,"Landfilled",33865.3
"43","East Lothian","Council Area",2012,"Landfilled",24169.2
"44","East Renfrewshire","Council Area",2012,"Landfilled",20162
"45","Falkirk","Council Area",2012,"Landfilled",32262.3
"46","Fife","Council Area",2012,"Landfilled",92292
"47","Glasgow City","Council Area",2012,"Landfilled",165095.8
"48","Highland","Council Area",2012,"Landfilled",69436.1
"49","Inverclyde","Council Area",2012,"Landfilled",15792.7
"50","Midlothian","Council Area",2012,"Landfilled",23362
"51","Moray","Council Area",2012,"Landfilled",23979
"52","Na h-Eileanan Siar","Council Area",2012,"Landfilled",10069.4
"53","North Ayrshire","Council Area",2012,"Landfilled",29752
"54","North Lanarkshire","Council Area",2012,"Landfilled",93825.7
"55","Orkney Islands","Council Area",2012,"Landfilled",2721
"56","Perth and Kinross","Council Area",2012,"Landfilled",33760.8
"57","Renfrewshire","Council Area",2012,"Landfilled",47049.8
"58","Scottish Borders","Council Area",2012,"Landfilled",29440.1
"59","Shetland Islands","Council Area",2012,"Landfilled",1799.3
"60","South Ayrshire","Council Area",2012,"Landfilled",30275.4
"61","South Lanarkshire","Council Area",2012,"Landfilled",95124.5
"62","Stirling","Council Area",2012,"Landfilled",17008.8
"63","West Dunbartonshire","Council Area",2012,"Landfilled",21622.1
"64","West Lothian","Council Area",2012,"Landfilled",41167.4
"65","Aberdeen City","Council Area",2013,"Landfilled",59051.5
"66","Aberdeenshire","Council Area",2013,"Landfilled",84421
"67","Angus","Council Area",2013,"Landfilled",25264.8
"68","Argyll and Bute","Council Area",2013,"Landfilled",25188
"69","City of Edinburgh","Council Area",2013,"Landfilled",114171.8
"70","Clackmannanshire","Council Area",2013,"Landfilled",9018.1
"71","Dumfries and Galloway","Council Area",2013,"Landfilled",30923.2
"72","Dundee City","Council Area",2013,"Landfilled",26795
"73","East Ayrshire","Council Area",2013,"Landfilled",28567.1
"74","East Dunbartonshire","Council Area",2013,"Landfilled",25339.6
"75","East Lothian","Council Area",2013,"Landfilled",28455.8
"76","East Renfrewshire","Council Area",2013,"Landfilled",19239
"77","Falkirk","Council Area",2013,"Landfilled",31834
"78","Fife","Council Area",2013,"Landfilled",83217
"79","Glasgow City","Council Area",2013,"Landfilled",166630.6
"80","Highland","Council Area",2013,"Landfilled",66168.8
"81","Inverclyde","Council Area",2013,"Landfilled",12967.4
"82","Midlothian","Council Area",2013,"Landfilled",23165
"83","Moray","Council Area",2013,"Landfilled",23109.6
"84","Na h-Eileanan Siar","Council Area",2013,"Landfilled",8457
"85","North Ayrshire","Council Area",2013,"Landfilled",26566.3
"86","North Lanarkshire","Council Area",2013,"Landfilled",76494
"87","Orkney Islands","Council Area",2013,"Landfilled",2699.6
"88","Perth and Kinross","Council Area",2013,"Landfilled",31621.9
"89","Renfrewshire","Council Area",2013,"Landfilled",40500.3
"90","Scottish Borders","Council Area",2013,"Landfilled",28821.3
"91","Shetland Islands","Council Area",2013,"Landfilled",2269.3
"92","South Ayrshire","Council Area",2013,"Landfilled",27048.3
"93","South Lanarkshire","Council Area",2013,"Landfilled",88205.4
"94","Stirling","Council Area",2013,"Landfilled",16051.6
"95","West Dunbartonshire","Council Area",2013,"Landfilled",20027.2
"96","West Lothian","Council Area",2013,"Landfilled",38539.2
"97","Aberdeen City","Council Area",2014,"Landfilled",59102.1
"98","Aberdeenshire","Council Area",2014,"Landfilled",78733.4
"99","Angus","Council Area",2014,"Landfilled",14963.4
"100","Argyll and Bute","Council Area",2014,"Landfilled",27192.2
"101","City of Edinburgh","Council Area",2014,"Landfilled",107913.7
"102","Clackmannanshire","Council Area",2014,"Landfilled",10772.4
"103","Dumfries and Galloway","Council Area",2014,"Landfilled",25812.9
"104","Dundee City","Council Area",2014,"Landfilled",4394
"105","East Ayrshire","Council Area",2014,"Landfilled",19406.9
"106","East Dunbartonshire","Council Area",2014,"Landfilled",23093
"107","East Lothian","Council Area",2014,"Landfilled",26123
"108","East Renfrewshire","Council Area",2014,"Landfilled",19938.6
"109","Falkirk","Council Area",2014,"Landfilled",33519.5
"110","Fife","Council Area",2014,"Landfilled",82667
"111","Glasgow City","Council Area",2014,"Landfilled",164810.9
"112","Highland","Council Area",2014,"Landfilled",69014.7
"113","Inverclyde","Council Area",2014,"Landfilled",12144.9
"114","Midlothian","Council Area",2014,"Landfilled",21587.9
"115","Moray","Council Area",2014,"Landfilled",23220.6
"116","Na h-Eileanan Siar","Council Area",2014,"Landfilled",8654.7
"117","North Ayrshire","Council Area",2014,"Landfilled",27708.2
"118","North Lanarkshire","Council Area",2014,"Landfilled",81800.9
"119","Orkney Islands","Council Area",2014,"Landfilled",3010.9
"120","Perth and Kinross","Council Area",2014,"Landfilled",30714.8
"121","Renfrewshire","Council Area",2014,"Landfilled",25492.3
"122","Scottish Borders","Council Area",2014,"Landfilled",30666.3
"123","Shetland Islands","Council Area",2014,"Landfilled",2142.6
"124","South Ayrshire","Council Area",2014,"Landfilled",19104.9
"125","South Lanarkshire","Council Area",2014,"Landfilled",83531.2
"126","Stirling","Council Area",2014,"Landfilled",17192.1
"127","West Dunbartonshire","Council Area",2014,"Landfilled",20040.9
"128","West Lothian","Council Area",2014,"Landfilled",38008.6
"129","Aberdeen City","Council Area",2015,"Landfilled",58155.2
"130","Aberdeenshire","Council Area",2015,"Landfilled",73175.5
"131","Angus","Council Area",2015,"Landfilled",12696.9
"132","Argyll and Bute","Council Area",2015,"Landfilled",25293.1
"133","City of Edinburgh","Council Area",2015,"Landfilled",95812.7
"134","Clackmannanshire","Council Area",2015,"Landfilled",11396.7
"135","Dumfries and Galloway","Council Area",2015,"Landfilled",21766.7
"136","Dundee City","Council Area",2015,"Landfilled",4621.9
"137","East Ayrshire","Council Area",2015,"Landfilled",19343.5
"138","East Dunbartonshire","Council Area",2015,"Landfilled",22301.2
"139","East Lothian","Council Area",2015,"Landfilled",22525.7
"140","East Renfrewshire","Council Area",2015,"Landfilled",20140.5
"141","Falkirk","Council Area",2015,"Landfilled",28726.7
"142","Fife","Council Area",2015,"Landfilled",82100.1
"143","Glasgow City","Council Area",2015,"Landfilled",161917.6
"144","Highland","Council Area",2015,"Landfilled",71448.8
"145","Inverclyde","Council Area",2015,"Landfilled",12759.7
"146","Midlothian","Council Area",2015,"Landfilled",14226.8
"147","Moray","Council Area",2015,"Landfilled",21338.3
"148","Na h-Eileanan Siar","Council Area",2015,"Landfilled",9091.6
"149","North Ayrshire","Council Area",2015,"Landfilled",26658.4
"150","North Lanarkshire","Council Area",2015,"Landfilled",76973.5
"151","Orkney Islands","Council Area",2015,"Landfilled",2243.9
"152","Perth and Kinross","Council Area",2015,"Landfilled",26849.3
"153","Renfrewshire","Council Area",2015,"Landfilled",26819.3
"154","Scottish Borders","Council Area",2015,"Landfilled",30355.2
"155","Shetland Islands","Council Area",2015,"Landfilled",2258.4
"156","South Ayrshire","Council Area",2015,"Landfilled",19499.3
"157","South Lanarkshire","Council Area",2015,"Landfilled",77415.6
"158","Stirling","Council Area",2015,"Landfilled",18029.6
